,image,subject,contrast,hemi,view
226,s13/tstat04_turning_walking.nii.gz.s13.rh_lateral.png,s13,turning_walking,rh,lateral
227,s13/tstat03_imagine_rest.nii.gz.s13.rh_lateral.png,s13,imagine_rest,rh,lateral
228,s13/SMA_imagine_rest.nii.gz.s13.rh_medial.png,s13,imagine_rest,rh,medial
229,s13/SMA_imagine_rest.nii.gz.s13.lh_medial.png,s13,imagine_rest,lh,medial
230,s13/tstat02_walking_rest.nii.gz.s13.lh_lateral.png,s13,walking_rest,lh,lateral
231,s13/tstat03_imagine_rest.nii.gz.s13.rh_medial.png,s13,imagine_rest,rh,medial
232,s13/SMA_imagine_rest.nii.gz.s13.lh_dorsal.png,s13,imagine_rest,lh,dorsal
233,s13/tstat01_turning_rest.nii.gz.s13.lh_medial.png,s13,turning_rest,lh,medial
234,s13/tstat03_imagine_rest.nii.gz.s13.lh_medial.png,s13,imagine_rest,lh,medial
235,s13/SMA_imagine_rest.nii.gz.s13.rh_dorsal.png,s13,imagine_rest,rh,dorsal
236,s13/tstat01_turning_rest.nii.gz.s13.rh_medial.png,s13,turning_rest,rh,medial
237,s13/tstat01_turning_rest.nii.gz.s13.lh_lateral.png,s13,turning_rest,lh,lateral
238,s13/tstat04_turning_walking.nii.gz.s13.lh_lateral.png,s13,turning_walking,lh,lateral
239,s13/SMA_imagine_rest.nii.gz.s13.lh_lateral.png,s13,imagine_rest,lh,lateral
240,s13/tstat02_walking_rest.nii.gz.s13.rh_medial.png,s13,walking_rest,rh,medial
241,s13/tstat02_walking_rest.nii.gz.s13.lh_medial.png,s13,walking_rest,lh,medial
242,s14/tstat04_turning_walking.nii.gz.s14.lh_lateral.png,s14,turning_walking,lh,lateral
243,s14/tstat03_imagine_rest.nii.gz.s14.lh_medial.png,s14,imagine_rest,lh,medial
244,s14/tstat01_turning_rest.nii.gz.s14.rh_medial.png,s14,turning_rest,rh,medial
245,s14/tstat03_imagine_rest.nii.gz.s14.rh_lateral.png,s14,imagine_rest,rh,lateral
246,s14/tstat03_imagine_rest.nii.gz.s14.rh_medial.png,s14,imagine_rest,rh,medial
247,s14/tstat01_turning_rest.nii.gz.s14.lh_medial.png,s14,turning_rest,lh,medial
248,s14/SMA_imagine_rest.nii.gz.s14.lh_dorsal.png,s14,imagine_rest,lh,dorsal
249,s14/SMA_imagine_rest.nii.gz.s14.rh_dorsal.png,s14,imagine_rest,rh,dorsal
250,s14/tstat02_walking_rest.nii.gz.s14.lh_lateral.png,s14,walking_rest,lh,lateral
251,s14/SMA_imagine_rest.nii.gz.s14.rh_medial.png,s14,imagine_rest,rh,medial
252,s14/SMA_imagine_rest.nii.gz.s14.lh_medial.png,s14,imagine_rest,lh,medial
253,s14/tstat01_turning_rest.nii.gz.s14.lh_lateral.png,s14,turning_rest,lh,lateral
254,s14/tstat04_turning_walking.nii.gz.s14.lh_medial.png,s14,turning_walking,lh,medial
255,s14/tstat04_turning_walking.nii.gz.s14.rh_medial.png,s14,turning_walking,rh,medial
256,s14/tstat02_walking_rest.nii.gz.s14.lh_medial.png,s14,walking_rest,lh,medial
257,s14/tstat02_walking_rest.nii.gz.s14.rh_medial.png,s14,walking_rest,rh,medial
258,s14/SMA_imagine_rest.nii.gz.s14.rh_lateral.png,s14,imagine_rest,rh,lateral
259,s14/tstat02_walking_rest.nii.gz.s14.rh_lateral.png,s14,walking_rest,rh,lateral
260,s14/tstat03_imagine_rest.nii.gz.s14.lh_lateral.png,s14,imagine_rest,lh,lateral
261,s14/tstat04_turning_walking.nii.gz.s14.rh_lateral.png,s14,turning_walking,rh,lateral
262,s14/SMA_imagine_rest.nii.gz.s14.lh_lateral.png,s14,imagine_rest,lh,lateral
263,s14/tstat01_turning_rest.nii.gz.s14.rh_lateral.png,s14,turning_rest,rh,lateral
264,s15/tstat03_imagine_rest.nii.gz.s15.lh_lateral.png,s15,imagine_rest,lh,lateral
265,s15/SMA_imagine_rest.nii.gz.s15.lh_lateral.png,s15,imagine_rest,lh,lateral
266,s15/tstat02_walking_rest.nii.gz.s15.rh_lateral.png,s15,walking_rest,rh,lateral
267,s15/tstat04_turning_walking.nii.gz.s15.rh_lateral.png,s15,turning_walking,rh,lateral
268,s15/tstat01_turning_rest.nii.gz.s15.rh_lateral.png,s15,turning_rest,rh,lateral
269,s15/tstat04_turning_walking.nii.gz.s15.lh_medial.png,s15,turning_walking,lh,medial
270,s15/tstat04_turning_walking.nii.gz.s15.rh_medial.png,s15,turning_walking,rh,medial
271,s15/tstat02_walking_rest.nii.gz.s15.lh_lateral.png,s15,walking_rest,lh,lateral
272,s15/SMA_imagine_rest.nii.gz.s15.rh_lateral.png,s15,imagine_rest,rh,lateral
273,s15/tstat03_imagine_rest.nii.gz.s15.rh_lateral.png,s15,imagine_rest,rh,lateral
274,s15/tstat04_turning_walking.nii.gz.s15.lh_lateral.png,s15,turning_walking,lh,lateral
275,s15/tstat02_walking_rest.nii.gz.s15.rh_medial.png,s15,walking_rest,rh,medial
276,s15/tstat02_walking_rest.nii.gz.s15.lh_medial.png,s15,walking_rest,lh,medial
277,s15/SMA_imagine_rest.nii.gz.s15.rh_dorsal.png,s15,imagine_rest,rh,dorsal
